PERMNO,date,TICKER,COMNAM,DIVAMT,PRC,VOL,RET,BID,ASK,RETX,vwretd
10107,2010-01-04,MSFT,MICROSOFT CORP,,30.95000,38564668,0.015420,30.94000,30.95000,0.015420,0.017123
10107,2010-01-05,MSFT,MICROSOFT CORP,,30.96000,49900508,0.000323,30.94000,30.95000,0.000323,0.003374
10107,2010-01-06,MSFT,MICROSOFT CORP,,30.77000,58338993,-0.006137,30.76000,30.77000,-0.006137,0.002046
10107,2010-01-07,MSFT,MICROSOFT CORP,,30.45200,50712549,-0.010335,30.47000,30.48000,-0.010335,0.002860
10107,2010-01-08,MSFT,MICROSOFT CORP,,30.66000,51358330,0.006830,30.66000,30.67000,0.006830,0.004173
10107,2010-01-11,MSFT,MICROSOFT CORP,,30.27000,68900092,-0.012720,30.26000,30.27000,-0.012720,0.001141
10107,2010-01-12,MSFT,MICROSOFT CORP,,30.07000,66084958,-0.006607,30.06000,30.07000,-0.006607,-0.010995
10107,2010-01-13,MSFT,MICROSOFT CORP,,30.35000,51978474,0.009312,30.35000,30.36000,0.009312,0.008636
10107,2010-01-14,MSFT,MICROSOFT CORP,,30.96000,63381444,0.020099,30.96000,30.97000,0.020099,0.002307
10107,2010-01-15,MSFT,MICROSOFT CORP,,30.86000,80089852,-0.003230,30.86000,30.86000,-0.003230,-0.011325
10107,2010-01-19,MSFT,MICROSOFT CORP,,31.10000,46724866,0.007777,31.09000,31.10000,0.007777,0.012057
10107,2010-01-20,MSFT,MICROSOFT CORP,,30.58500,55000779,-0.016560,30.58000,30.59000,-0.016560,-0.011076
10107,2010-01-21,MSFT,MICROSOFT CORP,,30.01000,73321633,-0.018800,30.03000,30.06000,-0.018800,-0.017773
10107,2010-01-22,MSFT,MICROSOFT CORP,,28.96000,102291200,-0.034988,28.95000,28.96000,-0.034988,-0.021001
10107,2010-01-25,MSFT,MICROSOFT CORP,,29.32000,63569452,0.012431,29.29000,29.29000,0.012431,0.003901
10107,2010-01-26,MSFT,MICROSOFT CORP,,29.50000,66784662,0.006139,29.50000,29.51000,0.006139,-0.004922
10107,2010-01-27,MSFT,MICROSOFT CORP,,29.67000,64960437,0.005763,29.67000,29.68000,0.005763,0.004186
10107,2010-01-28,MSFT,MICROSOFT CORP,,29.16000,117798168,-0.017189,29.15000,29.18000,-0.017189,-0.011333
10107,2010-01-29,MSFT,MICROSOFT CORP,,28.18000,194295037,-0.033608,28.16000,28.18000,-0.033608,-0.010301
10107,2010-02-01,MSFT,MICROSOFT CORP,,28.41000,86260465,0.008162,28.40000,28.41000,0.008162,0.015111
10107,2010-02-02,MSFT,MICROSOFT CORP,,28.46000,54597037,0.001760,28.47000,28.48000,0.001760,0.012229
10107,2010-02-03,MSFT,MICROSOFT CORP,,28.63000,61544822,0.005973,28.63000,28.64000,0.005973,-0.004982
10107,2010-02-04,MSFT,MICROSOFT CORP,,27.84000,78083402,-0.027593,27.81000,27.82000,-0.027593,-0.031982
10107,2010-02-05,MSFT,MICROSOFT CORP,,28.02000,81206226,0.006466,28.01000,28.03000,0.006466,0.002652
10107,2010-02-08,MSFT,MICROSOFT CORP,,27.72000,52957820,-0.010707,27.71000,27.72000,-0.010707,-0.008235
10107,2010-02-09,MSFT,MICROSOFT CORP,,28.01000,59371179,0.010462,28.01000,28.02000,0.010462,0.013880
10107,2010-02-10,MSFT,MICROSOFT CORP,,27.99000,48722883,-0.000714,27.98000,27.99000,-0.000714,-0.001476
10107,2010-02-11,MSFT,MICROSOFT CORP,,28.12000,66174124,0.004645,28.12000,28.13000,0.004645,0.012086
10107,2010-02-12,MSFT,MICROSOFT CORP,,27.93000,81296995,-0.006757,27.93000,27.94000,-0.006757,-0.000652
10107,2010-02-16,MSFT,MICROSOFT CORP,0.13000,28.35000,52159884,0.019692,28.34000,28.35000,0.015038,0.017979
